siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 14:00",2.5
35,二林,彰化縣,38,相對濕度,RH,%,"2024-09-02 14:00",70
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 14:00",12
35,二林,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 14:00",1.92
35,二林,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 14:00",0
35,二林,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 14:00",33.6
35,二林,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 14:00",331
35,二林,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 14:00",3.1
35,二林,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 14:00",0
35,二林,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 14:00",1.88
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 14:00",1.9
35,二林,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 14:00",0.7
35,二林,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 14:00",2.6
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 14:00",22
35,二林,彰化縣,3,臭氧,O3,ppb,"2024-09-02 14:00",49.9
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 14:00",0.16
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 14:00",0.9
34,線西,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 14:00",354
34,線西,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 14:00",3.5
34,線西,彰化縣,38,相對濕度,RH,%,"2024-09-02 14:00",78
34,線西,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 14:00",11
34,線西,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 14:00",1.88
34,線西,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 14:00",0
34,線西,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 14:00",32.5
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 14:00",2
34,線西,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 14:00",4.2
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 14:00",0
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 14:00",1.87
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 14:00",1.4
33,彰化,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 14:00",353
33,彰化,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 14:00",2.4
33,彰化,彰化縣,3,臭氧,O3,ppb,"2024-09-02 14:00",52.9
33,彰化,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 14:00",26
33,彰化,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 14:00",11.7
33,彰化,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 14:00",2.2
33,彰化,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 14:00",9.5
33,彰化,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 14:00",1.98
33,彰化,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 14:00",0
34,線西,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 14:00",0.9
34,線西,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 14:00",2.3
33,彰化,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 14:00",33.9
33,彰化,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 14:00",0
33,彰化,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 14:00",1.99
33,彰化,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 14:00",7
33,彰化,彰化縣,38,相對濕度,RH,%,"2024-09-02 14:00",63
33,彰化,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 14:00",2.3
34,線西,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 15:00",10
34,線西,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 15:00",3.9
34,線西,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 15:00",359
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 15:00",0.7
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 15:00",0.17
35,二林,彰化縣,3,臭氧,O3,ppb,"2024-09-02 15:00",51.5
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 15:00",30
35,二林,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 15:00",2.2
35,二林,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 15:00",0.6
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 15:00",1.6
35,二林,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 15:00",1.88
35,二林,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 15:00",0
35,二林,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 15:00",2.7
35,二林,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 15:00",345
35,二林,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 15:00",33.4
35,二林,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 15:00",0
35,二林,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 15:00",1.92
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 15:00",9
35,二林,彰化縣,38,相對濕度,RH,%,"2024-09-02 15:00",71
34,線西,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 15:00",32.3
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 15:00",353
34,線西,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 15:00",4
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 15:00",0
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 15:00",1.89
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 15:00",2
