Time,kpt,Temperature,Humidity,Rain,day_off,Hour,Minute,label
2024-11-15,457,25.1,92,0.0,0,23,45,1
2024-11-16,419,25.0,93,0.0,1,0,0,2
2024-11-16,416,25.0,93,0.0,1,0,15,2
2024-11-16,406,25.0,93,0.0,1,0,30,2
2024-11-16,392,25.0,93,0.0,1,0,45,2
2024-11-16,388,25.1,93,0.0,1,1,0,2
2024-11-16,391,25.1,93,0.0,1,1,15,2
2024-11-16,392,25.1,93,0.0,1,1,30,2
2024-11-16,395,25.1,93,0.0,1,1,45,2
2024-11-16,418,25.0,93,0.0,1,2,0,2
2024-11-16,410,25.0,93,0.0,1,2,15,2
2024-11-16,381,25.0,93,0.0,1,2,30,2
2024-11-16,370,25.0,93,0.0,1,2,45,2
2024-11-16,363,25.0,92,0.0,1,3,0,2
2024-11-16,353,25.0,92,0.0,1,3,15,2
2024-11-16,356,25.0,92,0.0,1,3,30,2
2024-11-16,351,25.0,92,0.0,1,3,45,2
2024-11-16,351,25.0,92,0.0,1,4,0,2
2024-11-16,360,25.0,92,0.0,1,4,15,2
2024-11-16,394,25.0,92,0.0,1,4,30,2
2024-11-16,383,25.0,92,0.0,1,4,45,2
2024-11-16,337,24.9,92,0.0,1,5,0,2
2024-11-16,331,24.9,92,0.0,1,5,15,2
2024-11-16,337,24.9,92,0.0,1,5,30,2
2024-11-16,367,24.9,92,0.0,1,5,45,2
2024-11-16,351,24.9,92,0.0,1,6,0,2
2024-11-16,360,24.9,92,0.0,1,6,15,2
2024-11-16,348,24.9,92,0.0,1,6,30,2
2024-11-16,340,24.9,92,0.0,1,6,45,2
2024-11-16,349,24.9,93,0.0,1,7,0,2
2024-11-16,374,24.9,93,0.0,1,7,15,2
2024-11-16,385,24.9,93,0.0,1,7,30,2
2024-11-16,340,24.9,93,0.0,1,7,45,2
2024-11-16,367,24.4,93,0.0,1,8,0,2
2024-11-16,391,24.4,93,0.0,1,8,15,2
2024-11-16,368,24.4,93,0.0,1,8,30,2
2024-11-16,366,24.4,93,0.0,1,8,45,2
2024-11-16,386,24.9,95,0.0,1,9,0,2
2024-11-16,411,24.9,95,0.0,1,9,15,2
2024-11-16,402,24.9,95,0.0,1,9,30,2
2024-11-16,390,24.9,95,0.0,1,9,45,2
2024-11-16,377,24.5,92,0.0,1,10,0,2
2024-11-16,336,24.5,92,0.0,1,10,15,2
2024-11-16,296,24.5,92,0.0,1,10,30,2
2024-11-16,267,24.5,92,0.0,1,10,45,2
2024-11-16,259,25.8,90,0.0,1,11,0,2
2024-11-16,260,25.8,90,0.0,1,11,15,2
2024-11-16,241,25.8,90,0.0,1,11,30,2
2024-11-16,263,25.8,90,0.0,1,11,45,2
2024-11-16,289,25.8,89,0.0,1,12,0,2
